,Komentar
0,"



Pemerintah resmi mengumumkan kenaikan harga BBM bersubsidi pada Sabtu (3/9/2022) pada pukul 13.30 WIB. Namun, harga baru BBM tersebut baru berlaku sejam setelah diumumkan atau pukul 14.30 WIB.

Dalam pengumuman kenaikan harga BBM hari ini di Istana Negara, Presiden Joko Widodo (Jokowi) didampingi Mensesneg Pratikno, Menteri Keuangan Sri Mulyani, Menteri Sosial Tri Rismaharini, dan Menteri ESDM Arifin Tasrif.

"
1,"
Pemerintah resmi mengumumkan kenaikan harga BBM bersubsidi pada Sabtu (3/9/2022) pada pukul 13.30 WIB. Namun, harga baru BBM tersebut baru berlaku sejam setelah diumumkan atau pukul 14.30 WIB.

Dalam pengumuman kenaikan harga BBM hari ini di Istana Negara, Presiden Joko Widodo (Jokowi) didampingi Mensesneg Pratikno, Menteri Keuangan Sri Mulyani, Menteri Sosial Tri Rismaharini, dan Menteri ESDM Arifin Tasrif.

"
2,"

Semangaaat guys, semoga seluruh rakyat Indonesia sehat2 selalu dan lancar rezekinya. 

"
3,"

Amin yrbl alamin bang R
"
4,"

Aamiin
"
5,"

Aaaammiiinnn...
"
6,"

Amin yra
"
7,"

Lancar untuk di KORUP para penguasa...
"
8,"

Aamiin...
"
9,"

Turunkan tunjangan untuk DPR, alihkan untuk subsidi rakyat....dan yang penting anggota dewam berwenang, sudi turun kelapangan untuk mengawasi penyesuaian harga BBM, seperti menaikan upah buruh, ongkos transportasi ,harga komoditi agar penyesuaian ini benar"" terjadi merata ke seluruh lapisan masyarakat... dan tidak ada sebagian masyarakat yang merasa menjadi korban dari kenaikan BBM ini...
"
10,"

Betulll itu... Bila gaji DPR kecil apakah masih ada yang caleg??? Busuk.. Busukkk
"
11,"

Ati ati mas
"
12,"

Tunjangan pensiun DPR mungkin perlu ditinjau. Kerja 5 tahun kemudian dapat pensiun sampai mati.
"
13,"

Bagus idenya...! Cuman apa iya.. Gaji 450 org..bisa mengkafer rakyat yg perlu disubsidi 20 jt org.. ! Fikirrr... Jalan kluar iyah.. Hidup hemat.
"
14,"

Apa elo kata elo2 aja sama gua yg masuk kerja ke dpr biar benerin Bangsa ini mau kaga. Enak aja main turunin gaji selangit&fasilitas2nyeee
"
15,"

 @Ricky Design  benerin bangsa yg bagaimana
"
16,"

Bubarkan DPR
"
17,"

 @marine rachmad  gaji emg kecil, tapi kan ada sesuatu 
"
18,"

Hapus pensiunan DPR
"
19,"

 @Wah Yudi  biar bener bikin undang2 koropsi max 1M mati. Dll laaa benerin...gaji tinggi atas kesenengan Rakyat Indonesia baru bisa dapat bonus2
"
20,"

tunjangan dinaikkan aja korupsi ngegas kok apalagi diturunkan
"
21,"

Mana mau cita² mereka yang penting kenyang biarkan rakyat meradang.
"
22,"

S7, kan katanya bekerja untuk rakyat, ya harus rela berkorban untuk rakyat dong, bukan rakyat aja jadi korban atas keputusan pemerintah 
"
23,"

Oooo tidak bisa,itu pun masih kurang
"
24,"

Kangen sama yg bela wong cilik masalah BBM mo naek 500perak
"
25,"

Setujuuu uang pensiun DPR alihkan buat rakyat
"
26,"

 @ARA Channel  450 itu jumlah DPR pusat. DPRD tingkat 1 dan 2 gak loe itung Brohh?????
"
27,"

Bubarkan saja, karna gak guna. Gak ada aspirasi rakyat yg mereka perjuangkan. Mereka hanya memperjuangkan Supaya naik gajinya
"
28,"

Bubar kan dpr
"
29,"

Wonderful Indonesia     
"
30,"

 @Niagara Klisu  apa loh
"
31,"

Mkanya sekolah, yg bner jngn bnyak protes biar jdi pejabat biar hidup enak,,, gk miskin trus
"
32,"

Omong kosong ,itulah pekerjaan pejabat bisanya cuma ngomong kerurigian,blm prnah ngmong keuntungan.
"
33,"

Yg penting koruptor ny hukum mati...berani ngk tuh dpr teken draft hukum mati
"
34,"

Aku menduga alasan kenapa BBM naiknya sekarang bukan 2 hari lalu adalah karena harga minyak dunia menyentuh 80an dollar hari itu, sedangkan hari ini naik lagi 93.

Tapi kalau lihat kebiasaan Jokowi, jika reaksi masyarakat keras, beberapa hari lagi, BBM akan turun lagi, mungkin pertalite 9000.
"
35,"

 @PUTTU WIRYO REJO  Wonderful Indonesia Dengan Kearifan Lokal Yang Tiada Tara 
"
36,"

Saya selagi PKL. Sangat berterima kasih. Karena dari jaman covid sampai sekarang tidak ada bansos sama sekali. Sekarang kena Harga BBM naik, LPG naik, semua naik. Harga jualan mau dinaikkan pelanggan pada bubar. Terus kalau gak ada pemasukan mau makan apa pak keluarga saya??????
"
37,"

Hidup kok ngeluh 
"
38,"

Baru kemarin rakyat jokowi di ajak joget joget di istana merdeka,eh oleh olehnya harga bbm naik,,
"
39,"

 @PUTTU WIRYO REJO  enak cuma di dunia buat Apa. Kita semua hidup di dunia cuma sementara. Ingat akhirat.
"
40,"

 @ARA Channel  gaji DPR emang GK gede tpi tunjangan gede cuy..DPRD dan DPR banyak loh
"
41,"

 @PUTTU WIRYO REJO  malu dgn negara ttgga negara maju mnsjahteraken rkyat bkn mnjajah rkyat
"
42,"

 @your homie  ya udh Kembalikan Pak Jokewi  uang ikis Semua Kasihan Banget
"
43,"

TRIMS BPK/IBU. DEMO AKBAR, KAPAN YA ???
"
44,"

Gimana klo DPR gaji nya sesuai UMR kayanya bakal seru tuh,tanpa tunjangan,klo pen dapet tambahan y harus lembur ,kayanya pemilihan kedepan GK ada yg bakal nyalon
"
45,"

Pemilu 2024 gua golput
"
46,"

 @Tonny Fernando   malu dengn negara lain,,,? Klo malu dengn negara lain,,, kmu jngn ngeyel klo di atur,,, negara lain jga naik semua harga lol
"
47,"

Nah org kaya yg nakal beli pertalite, org miskin yg digencet. Mantap kali kebijakanya. Dah di bayar mahal mbok mikir dikit cari solusi yg gk merugikan rkyt kecil. Emg dasarrr
"
48,"

Coba bandingkan dengan AS dan negara-negara lain! Harga BBM di sini jauh lebih murah.
"
49,"

Saya setuju..
Lebih setuju lagi, jika pemerintahan digulengkan.
"
50,"

 @Ini Aku  DPR ITU BUKAN MAWAKILIBTAPI MEWAKILI JKW..
"
51,"

Pajak naik. Bbm naik. Upah gk pernah naik...bantuan ilangin ajja pak krena cuma jadi ajang korupsi ajja
"
52,"

 @PUTTU WIRYO REJO  ngara ttgga pertamax turbo dsubsidi brlomba2 mnsejahteraken rkyat bkn mnjajah rkyat
"
53,"

BBM naek mulu..takut sengsra x ..pah biar ke beli apertemen..lgi ..astagah otak2 orag pinter hebtt
"
